設定	Көйләүҙәр
IPログリーダー	IP журнал уҡыусы
IPアドレスログ	IP-адрес журналы
全クリア	Бөтә кимәлдәрҙе үтегеҙ
IPログが全て削除されました	Бөтә IP журналдары юйылды
ID	Идентификатор
タイムスタンプ	Ваҡыт тамғаһы
IPアドレス	IP-адрес
ユーザーエージェント	Ҡулланыусы агент
イベント	Сара
IPアドレスのデータはありません	Был IP-адрес өсөн мәғлүмәт юҡ
EU GDPR対応	ЕС ГДПР-ға ярашлылыҡ
無効	Дөрөҫ түгел
有効	Дөрөҫ
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Әгәр ҙә һеҙ Европа Берлегендә WordPress-ты ҡулланаһығыҙ йәки веб-сайтығыҙ Европа Берлегендәге файҙаланыусыларға йүнәлтелгән булһа, был функцияның эшләй торғанын тикшерегеҙ.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	«Раҫлау» төймәһе «Килешәм» йәки «Килешмәйем»гә үҙгәрәсәк, һәм эш итеү рәүеше аҙ ғына үҙгәрәсәк.
同意画面の色	Рөхсәт биреү экранының төҫө
自動	Автоматик
ライトモード	Яҡты режим
ダークモード	Ҡара режим
同意画面表示中の配色を設定します	Ризалыҡ бите өсөн төҫ схемаһын билдәләгеҙ
同意画面中のコンテンツのぼかし	Рөхсәт биреү экранында контенттың боҙолоуы
同意画面表示中のコンテンツのぼかし具合を設定します	Рөхсәт экранында күрһәтелгән контент өсөн боҙолоу кимәлен билдәләгеҙ
同意画面の透過	Рөхсәт биреү экранының асыҡлығы
透過なし	Асыҡлыҡ юҡ
同意画面の透過具合を設定します	Рөхсәт биреү экранының үтә күренмәлеген көйләгеҙ
お知らせの1行目	Иғландың тәүге юлы
初回表示で必ず表示されるメッセージです	Был хәбәр бит йөкләнгәндә һәр ваҡыт тәүге тапҡыр күрһәтелә.
お知らせの2行目	Хәбәрҙең икенсе юлы
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Был хәбәр һәр ваҡыт беренсе күрһәтеүҙә генә, ЕС GDPR ғәмәлгә ингән осраҡта ғына күренәсәк.
お知らせの3行目	Хәбәрҙең өсөнсө юлы
プライバシーポリシーのリンクの右側に表示されます	Ул Шәхси мәғлүмәттәрҙе һаҡлау сәйәсәте һылтанмаһының уң яғында күренәсәк.
非EU向け確認の文字列	ЕС-ҡа инмәгән илдәр өсөн раҫлау тексы
EU GDPR向け同意するの文字列	ЕС GDPR өсөн ризалыҡ тексты
EU GDPR向け同意しないの文字列	ЕС GDPR буйынса «Ризалыҡ бирмәгеҙ» тексты
プライバシーポリシーの文字列	Шәхси мәғлүмәттәрҙе һаҡлау сәйәсәте тексы
