設定	Tənzimləmələr
IPログリーダー	IP Log Oxuyucusu
IPアドレスログ	IP ünvanı qeydiyyatı
全クリア	Bütün səviyyələri tamamlayın
IPログが全て削除されました	Bütün IP qeydləri silinib
ID	Şəxsiyyət nömrəsi
タイムスタンプ	Vaxt möhürü
IPアドレス	IP ünvanı
ユーザーエージェント	İstifadəçi agenti
イベント	Tədbir
IPアドレスのデータはありません	Bu IP ünvanı üçün heç bir məlumat yoxdur.
EU GDPR対応	AB-nin GDPR-inə uyğunluq
無効	Etibarsız
有効	Etibarlı
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Əgər WordPress-dən AB daxilində istifadə edirsinizsə və ya veb saytınız AB-dəki istifadəçilərə yönəlibsə, zəhmət olmasa bunun aktiv olduğunu təmin edin.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'Təsdiqlə' düyməsi 'Razıyam' və ya 'Razı deyiləm' düyməsinə çevriləcək və davranış bir qədər dəyişəcək.
同意画面の色	Razılıq ekranının rəngi
自動	Avtomatik
ライトモード	Açıq rejim
ダークモード	Qaranlıq rejim
同意画面表示中の配色を設定します	Razılıq ekranının rəng sxemini təyin edin
同意画面中のコンテンツのぼかし	Razılıq ekranındakı məzmunun bulanıqlaşdırılması
同意画面表示中のコンテンツのぼかし具合を設定します	Razılıq ekranında göstərilən məzmun üçün bulanıqlaşdırma səviyyəsini təyin edin
同意画面の透過	Razılıq ekranının şəffaflığı
透過なし	Şəffaflıq yoxdur
同意画面の透過具合を設定します	Razılıq ekranının şəffaflığını təyin edin
お知らせの1行目	Elanın ilk cümləsi
初回表示で必ず表示されるメッセージです	Bu mesaj səhifə ilk dəfə yüklənəndə həmişə göstərilir.
お知らせの2行目	Bildirişin ikinci sətri
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Bu mesaj yalnız EU GDPR qüvvəyə mindikdə ilk ekranda həmişə görünəcək.
お知らせの3行目	Bildirişin üçüncü sətri
プライバシーポリシーのリンクの右側に表示されます	Məxfilik Siyasətinə keçid linkinin sağ tərəfində görünəcək.
非EU向け確認の文字列	Aİ-yə üzv olmayan ölkələr üçün təsdiq mətni
EU GDPR向け同意するの文字列	AB GDPR üçün razılıq mətni
EU GDPR向け同意しないの文字列	AB-nin GDPR-i çərçivəsində "Razılıq verməyin" mətni
プライバシーポリシーの文字列	Məxfilik siyasəti mətni
プライバシーポリシーのURLはこちらから設定して下さい	Zəhmət olmasa məxfilik siyasətinin URL-ni burada təyin edin
プライバシーポリシーには以下の内容を追加して下さい	Zəhmət olmasa, aşağıdakını Məxfilik Siyasətinə əlavə edin
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Saxtakarlıq fəaliyyətini aşkar etmək üçün IP ünvanları kimi identifikatorlar kukilərdə və verilənlər bazalarında saxlanılır. Saxlanılan məlumatlar administratorun qərarına əsasən silinir.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Şəkil qorunması aktiv olduqda şəkillərin düzgün çatdırılmasını təmin etmək üçün IP ünvanı və şəkil fayl adından ibarət haşlanmış məlumatları bazada 60 dəqiqəyə qədər saxlayırıq.
