設定	הגדרות
IPログリーダー	קורא יומני IP
IPアドレスログ	יומן כתובות IP
全クリア	השלים את כל השלבים
IPログが全て削除されました	כל יומני ה-IP נמחקו
ID	מספר זיהוי
タイムスタンプ	חותמת זמן
IPアドレス	כתובת IP
ユーザーエージェント	סוכן המשתמש
イベント	אירוע
IPアドレスのデータはありません	אין נתונים עבור כתובת ה-IP הזו
EU GDPR対応	עמידה בתקנות ה-GDPR של האיחוד האירופי
無効	לא חוקי
有効	תקף
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	אם אתם משתמשים בוורדפרס בתוך האיחוד האירופי, או אם האתר שלכם פונה למשתמשים בתוך האיחוד האירופי, אנא ודאו שהאפשרות הזו מופעלת.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	הכפתור 'אשר' ישתנה ל'מסכים' או 'לא מסכים', וההתנהגות תשתנה מעט
同意画面の色	צבע מסך האישור
自動	אוטומטי
ライトモード	מצב בהיר
ダークモード	מצב כהה
同意画面表示中の配色を設定します	הגדר את ערכת הצבעים של מסך ההסכמה
同意画面中のコンテンツのぼかし	טשטוש התוכן במסך ההסכמה
同意画面表示中のコンテンツのぼかし具合を設定します	הגדר את רמת הטשטוש של התוכן המוצג במסך ההסכמה
同意画面の透過	שקיפות מסך ההסכמה
透過なし	אין שקיפות
同意画面の透過具合を設定します	הגדר את רמת השקיפות של מסך ההסכמה
お知らせの1行目	השורה הראשונה בהודעה
初回表示で必ず表示されるメッセージです	הודעה זו מוצגת תמיד בפעם הראשונה שהדף נטען
お知らせの2行目	השורה השנייה בהודעה
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	הודעה זו תופיע תמיד רק במסך הראשון, כל עוד תקנות ה-GDPR של האיחוד האירופי בתוקף.
お知らせの3行目	השורה השלישית בהודעה
プライバシーポリシーのリンクの右側に表示されます	הוא יופיע מימין לקישור למדיניות הפרטיות
非EU向け確認の文字列	טקסט אישור עבור מדינות שאינן חברות באיחוד האירופי
EU GDPR向け同意するの文字列	נוסח הסכמת המשתמש בהתאם לתקנות ה-GDPR של האיחוד האירופי
EU GDPR向け同意しないの文字列	הטקסט המופיע תחת הכותרת "אל תסכים" בהתאם לתקנת ה-GDPR של האיחוד האירופי
プライバシーポリシーの文字列	טקסט מדיניות הפרטיות
プライバシーポリシーのURLはこちらから設定して下さい	אנא הזן כאן את כתובת ה-URL של מדיניות הפרטיות
プライバシーポリシーには以下の内容を追加して下さい	אנא הוסף את הדברים הבאים למדיניות הפרטיות
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	כדי לאתר פעילות הונאה, מזהים כגון כתובות IP נשמרים בקובצי Cookie ובמאגר הנתונים. הנתונים השמורים נמחקים לפי שיקול דעתו של המנהל.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	כדי להבטיח שהתמונות יועברו כהלכה רק כאשר הגנת התמונות מופעלת, אנו שומרים נתונים מוצפנים הכוללים את כתובת ה-IP ואת שם קובץ התמונה במסד הנתונים למשך עד 60 דקות.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	אם אתם מגדירים תנאי שימוש, אנא הקפידו לכלול קישור אליהם במדיניות הפרטיות שלכם.
利用規約の文字列	נוסח תנאי השימוש
利用規約のページ	דף התנאים וההגבלות
ページ選択なし	לא נבחרה דף
検索エンジン等のURL	כתובות URL למנועי חיפוש וכדומה
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	הגדר את כתובת ה-URL עבור מנועי חיפוש ואתרים דומים, המפנים לדף אחר כאשר לא ניתנה הסכמה
デバッグモード、コンソールの警告メッセージ	מצב ניפוי באגים, הודעות אזהרה במסוף
右クリックの警告メッセージ	הודעת אזהרה בלחיצה ימנית
印刷、PDF保存の警告メッセージ	הודעת אזהרה בנוגע להדפסה ולשמירה כקובץ PDF
スクリーンショットの警告メッセージ	הודעת אזהרה בצילום המסך
スクリーンショットの疑いの警告メッセージ	הודעת אזהרה בנוגע לצילומי מסך חשודים
テキスト全選択時の警告メッセージ	הודעת אזהרה כאשר כל הטקסט נבחר
ページ保存の警告メッセージ	הודעת אזהרה בנוגע לשמירת הדף
コピー・カットした時に表示するメッセージ	הודעה המוצגת בעת העתקה או גזירה
HTMLソース表示時に表示するメッセージ	הודעה שתוצג בעת הצגת קוד המקור של HTML
HTML難読化・保護時にソースの先頭に表示するメッセージ	הודעה שתוצג בראש קוד המקור בעת טשטוש או הגנה על HTML
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	הודעה שתוצג אם אסימון האימות החד-פעמי אינו תקף במהלך הגנת HTML
CookieやJavascriptが有効でない場合に表示するメッセージ	הודעה שתוצג אם קובצי Cookie או JavaScript מושבתים
実際にはJavascriptが無効時のみ表示されます	למעשה, זה מוצג רק כאשר JavaScript מושבת
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	כאשר תמונה מוגנת, היא יורדת, והודעה מוצגת על גבי התמונה
HTML難読化 (圧縮)	הסתרת קוד HTML
一般的なHTML圧縮です、難読化解除のサイトもあります	זוהי דחיסת HTML סטנדרטית; ישנם גם אתרי אינטרנט שיכולים לפענח אותה.
このオプションを有効にするとview-sourceのログが取得できます	הפעלת אפשרות זו מאפשרת לך להציג את יומן ה-view-source
HTML保護	הגנה על HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	הוא מפיק רק את המינימום ההכרחי של HTML — אפילו פחות מאשר בשימוש בדחיסת HTML — והתוכן שבתגית BODY אינו מוצג כלל.
Firefoxに対しては無効です	זה לא חל על Firefox
SEOに著しく影響があります	לכך יש השפעה משמעותית על קידום אתרים
HTMLをJavaScriptで描画	הצגת HTML באמצעות JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	כדי לעקוף את Firefox, אנו מציגים את ה-HTML באמצעות JavaScript
