設定	Litlhophiso
IPログリーダー	Mmadi wa Lirekoto tsa IP
IPアドレスログ	Lengolo la liaterese tsa IP
全クリア	Phethela maemo ohle
IPログが全て削除されました	Liloko tsohle tsa IP li hlakotsoe.
ID	Boitsebiso ba motho
タイムスタンプ	Nako ea ketsahalo
IPアドレス	Aterese ea IP
ユーザーエージェント	Moemeli oa mosebelisi
イベント	Ketsahalo
IPアドレスのデータはありません	Ha ho na datha bakeng sa aterese ena ea IP.
EU GDPR対応	Ho latela GDPR ea EU
無効	Ha e sebetse
有効	E nepahetse
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Haeba o sebedisa WordPress ka hara EU, kapa haeba websaete ya hao e lebisitswe ho basebedisi ba ka hara EU, ka kopo etsa bonnete ba hore sena se kenyeleditswe.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Konopo ea 'Netefatsa' e tla fetoha ho ba 'Tumellana' kapa 'Hana', 'me tsela eo e sebetsang ka eona e tla fetoha hanyenyane.
同意画面の色	Mmala oa skrine sa tumello
自動	Ka boiketsetso
ライトモード	Mokgwa o bobebe
ダークモード	Mokgwa o Lefifi
同意画面表示中の配色を設定します	Beha moralo oa mebala bakeng sa skrine sa tumello.
同意画面中のコンテンツのぼかし	Ho fifatsa dikahare skrineng sa tumello
同意画面表示中のコンテンツのぼかし具合を設定します	Beha boemo ba ho fifatsa bakeng sa litaba tse hlahang skrineng sa tumello.
同意画面の透過	Pepesa ea skrine sa tumello
透過なし	Ha ho ponaletso
同意画面の透過具合を設定します	Beha ponaletso ea skrine sa tumello
お知らせの1行目	Mola oa pele oa phatlalatso
初回表示で必ず表示されるメッセージです	Molaetsa ona o lula o bontšoa lekhetlo la pele leqephe le laeloa.
お知らせの2行目	Mola oa bobeli oa tsebiso
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Molaetsa ona o tla hlaha kamehla pontshong ya pele feela ha EU GDPR e sebetsa.
お知らせの3行目	Mola oa boraro oa tsebiso
プライバシーポリシーのリンクの右側に表示されます	E tla hlaha ka ho le letona ha sehokelo sa Leano la Lekunutu.
非EU向け確認の文字列	Molaetsa oa netefatso bakeng sa linaha tse seng tsa EU
EU GDPR向け同意するの文字列	Molaetsa oa tumello bakeng sa EU GDPR
EU GDPR向け同意しないの文字列	Molaetsa oa 'Se lumellane' tlas'a EU GDPR
プライバシーポリシーの文字列	Molaoana oa lekunutu
プライバシーポリシーのURLはこちらから設定して下さい	Ka kopo, kenya URL ea leano la lekunutu mona.
プライバシーポリシーには以下の内容を追加して下さい	Ka kopo, eketsa tse latelang ho Leano la Lekunutu.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Ho lemoha liketso tsa bomenemene, lintlha tse khethollang tse kang liaterese tsa IP li bolokoa li-cookie le polokelong ea lintlha. Lintlha tse bolokiloeng li hlakoloa ho ea ka kahlolo ea motsamaisi.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Ho netefatsa hore litšoantšo li fanoa ka nepo ha tšireletso ea litšoantšo e kenyelelitsoe, re boloka data e fetotsoeng ka khoutu e kenyeletsang aterese ea IP le lebitso la faele ea setšoantšo polokelong ea rona ea data ka nako e ka fihlang metsotso e 60.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Haeba o hlophisa Melao ya Tshebediso, ka kopo etsa bonnete ba hore o kenyeletsa sehokelo sa yona ho Leano la hao la Lekunutu.
利用規約の文字列	Mongolo oa Lipehelo tsa Tšebeliso
利用規約のページ	Leqephe la Melao le Lipehelo
ページ選択なし	Ha ho leqephe le kgethilweng
検索エンジン等のURL	Li-URL bakeng sa lienjine tsa ho batla, jj.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Beha URL bakeng sa lienjine tsa patlo le liwebsaete tse tšoanang tse fetisetsang basebelisi ha ba sa lumellane.
デバッグモード、コンソールの警告メッセージ	Mokgwa wa ho lokisa diphoso, melaetsa ya tlhokomediso ya khonsolo
右クリックの警告メッセージ	Tlhokomediso ea ho tobetsa ka ho le letona
印刷、PDF保存の警告メッセージ	Molaetsa oa temoso mabapi le ho hatisa le ho boloka e le PDF
スクリーンショットの警告メッセージ	Molaetsa oa temoso setšoantšong sa skrine
スクリーンショットの疑いの警告メッセージ	Molaetsa oa temoso mabapi le litšoantšo tsa skrine tse belaelloang
テキスト全選択時の警告メッセージ	Molaetsa oa temoso ha mongolo oohle o khethiloe
ページ保存の警告メッセージ	Molaetsa oa temoso mabapi le poloko ea leqephe
コピー・カットした時に表示するメッセージ	Molaetsa o hlahang ha o kopitsa kapa o seha
